shapeId,shapeType,shapeLabel,pointId,pointX,pointY,source
0,point,Harrow & Wealdstone,0,53,551,
1,point,Kenton,0,116,498,
2,point,South Kenton,0,141,436,
3,point,North Wembley,0,155,396,
4,point,Wembley Central,0,177,343,
5,point,Stonebridge Park,0,242,303,
6,point,Harlesden,0,301,266,
7,point,Willesden Junction,0,331,245,
8,point,Kensal Green,0,403,234,
9,point,Queens Park,0,468,252,
10,point,Kilburn Park,0,502,258,
11,point,Maida Vale,0,532,232,
12,point,Warwick,0,534,199,
13,point,Paddington,0,559,158,
14,point,Edgware Road,0,584,181,
15,point,Marylebone,0,600,194,
16,point,Baker Street,0,621,194,
17,point,Regents Park,0,654,199,
18,point,Oxford Circus,0,670,154,
19,point,Piccadilly Circus,0,691,129,
20,point,Charing Cross,0,722,120,
21,point,Embankment,0,733,115,
22,point,Waterloo,0,757,97,
23,point,Lambeth North,0,757,97,
24,point,Elephant & Castle,0,757,97,
25,point,,0,765,74,
26,point,,0,802,49,
